Time,X,Y,InOpen,InClosed
11.88,-0.285762,-3.37061,0,0
11.92,-0.293457,-3.34516,0,0
11.96,-0.291374,-3.33026,0,0
12,-0.271995,-3.33221,0,0
12.04,-0.263378,-3.32498,0,0
12.08,-0.241605,-3.32545,0,0
12.12,-0.232895,-3.34054,0,0
12.16,-0.245662,-3.34662,0,0
12.2,-0.231569,-3.3784,0,0
12.24,-0.200392,-3.3797,0,0
12.28,-0.183706,-3.39155,0,0
12.32,-0.196983,-3.37943,0,0
12.36,-0.210368,-3.34825,0,0
12.4,-0.203761,-3.32232,0,0
12.44,-0.204807,-3.32082,0,0
12.48,-0.236575,-3.27358,0,0
12.52,-0.247747,-3.25506,0,0
12.56,-0.2865,-3.21359,0,0
12.6,-0.33822,-3.15723,0,0
12.64,-0.385086,-3.1262,0,0
12.68,-0.419237,-3.08025,0,0
12.72,-0.456641,-3.04939,0,0
12.76,-0.480502,-3.00908,0,0
12.8,-0.508633,-2.96907,0,0
12.84,-0.547055,-2.95358,0,0
12.88,-0.582815,-2.93422,0,0
12.92,-0.622129,-2.9168,0,0
12.96,-0.677606,-2.85644,0,0
13,-0.70705,-2.82668,0,0
13.04,-0.718474,-2.82131,0,0
13.08,-0.756411,-2.78661,0,0
13.12,-0.758975,-2.76668,0,0
13.16,-0.766604,-2.74393,0,0
13.2,-0.783531,-2.72591,0,0
13.24,-0.793934,-2.72478,0,0
13.28,-0.80727,-2.72155,0,0
13.32,-0.819388,-2.71954,0,0
13.36,-0.819074,-2.72558,0,0
13.4,-0.831548,-2.72506,0,0
13.44,-0.846899,-2.73663,0,0
13.48,-0.864961,-2.74084,0,0
13.52,-0.868782,-2.72625,0,0
13.56,-0.873761,-2.72226,0,0
13.6,-0.892542,-2.71067,0,0
13.64,-0.917613,-2.70811,0,0
13.68,-0.961504,-2.67446,0,0
13.72,-1.01443,-2.63283,0,0
13.76,-1.07609,-2.59792,0,0
13.8,-1.12606,-2.55384,0,0
13.84,-1.18004,-2.50879,0,0
13.88,-1.2411,-2.47989,0,0
13.92,-1.32818,-2.47545,0,0
13.96,-1.37228,-2.43452,0,0
14,-1.41817,-2.41709,0,0
14.04,-1.63194,-2.24274,0,0
14.08,-1.58636,-2.34389,0,0
14.12,-1.62671,-2.33354,0,0
14.16,-1.68936,-2.343,0,0
14.2,-1.84977,-2.25498,0,0
14.24,-1.86382,-2.31328,0,0
14.28,-1.97743,-2.25109,0,0
14.32,-2.07232,-2.25161,0,0
14.36,-2.14627,-2.29769,0,0
14.4,-2.26512,-2.2897,0,0
14.44,-2.36904,-2.22104,0,0
14.48,-2.48975,-2.16115,0,0
14.52,-2.55263,-2.13263,0,0
14.56,-2.65802,-2.07983,0,0
14.6,-2.7808,-2.0008,0,0
14.64,-2.87843,-1.87938,0,0
14.68,-2.96436,-1.77189,0,0
14.72,-3.00507,-1.6547,0,0
14.76,-3.03796,-1.51537,0,0
14.8,-3.02799,-1.37443,0,0
14.84,-2.99273,-1.26166,0,0
14.88,-2.93926,-1.16574,0,0
14.92,-2.85574,-1.10365,0,0
14.96,-2.66796,-1.11087,0,0
15,-2.53453,-1.04695,0,0
15.04,-2.41352,-0.982403,0,0
15.08,-2.28385,-0.935932,0,0
15.12,-2.13861,-0.887955,0,0
15.16,-1.95667,-0.815174,0,0
